ID,title,artist,top genre,year
119,Good Time,Owl City,pop,2012
120,Glad You Came,The Wanted,boy band,2012
121,Beauty And A Beat,Justin Bieber,canadian pop,2012
122,International Love,Pitbull,dance pop,2012
123,Some Nights,fun.,baroque pop,2012
124,Boyfriend,Justin Bieber,canadian pop,2012
125,Part Of Me,Katy Perry,dance pop,2012
126,Domino,Jessie J,australian pop,2012
127,Where Have You Been,Rihanna,barbadian pop,2012
128,Wide Awake,Katy Perry,dance pop,2012
129,The One That Got Away,Katy Perry,dance pop,2012
130,Dance Again,Jennifer Lopez,dance pop,2012
131,Turn Up the Music,Chris Brown,dance pop,2012
132,Lights - Single Version,Ellie Goulding,dance pop,2012
133,We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012
134,Diamonds,Rihanna,barbadian pop,2012
135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012
136,You Da One,Rihanna,barbadian pop,2012
137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012
138,It Will Rain,Bruno Mars,pop,2012
139,Blow Me (One Last Kiss),P!nk,dance pop,2012
140,Underneath the Tree,Kelly Clarkson,dance pop,2013
141,Wake Me Up,Avicii,big room,2013
142,Story of My Life,One Direction,boy band,2013
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013
144,Hall of Fame,The Script,celtic rock,2013
145,Roar,Katy Perry,dance pop,2013
146,We Can't Stop,Miley Cyrus,dance pop,2013
147,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013
149,Wrecking Ball,Miley Cyrus,dance pop,2013
150,Impossible,James Arthur,pop,2013
151,Blurred Lines,Robin Thicke,dance pop,2013
152,Heart Attack,Demi Lovato,dance pop,2013
153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013
154,Die Young,Kesha,dance pop,2013
155,Clarity,Zedd,complextro,2013
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013
157,Under Control,Calvin Harris,dance pop,2013
158,Everybody Talks,Neon Trees,indie pop,2013
159,"Hold On, We're Going Home",Drake,canadian hip hop,2013
160,Best Song Ever,One Direction,boy band,2013
161,Kiss You,One Direction,boy band,2013
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013
163,Lose Yourself to Dance,Daft Punk,electro,2013
164,Work Bitch,Britney Spears,dance pop,2013
165,Brave,Sara Bareilles,acoustic pop,2013
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013
167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013
168,Beneath Your Beautiful,Labrinth,pop,2013
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013
172,The Way,Ariana Grande,dance pop,2013
173,Suit & Tie,Justin Timberlake,dance pop,2013
174,#thatPOWER,will.i.am,dance pop,2013
175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013
177,Daylight,Maroon 5,pop,2013
178,Love Somebody,Maroon 5,pop,2013
179,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013
180,Move,Little Mix,dance pop,2013
181,Walks Like Rihanna,The Wanted,boy band,2013
182,Rock N Roll,Avril Lavigne,canadian pop,2013
183,Heartbreaker,Justin Bieber,canadian pop,2013
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013
185,Next To Me,Emeli Sandé,dance pop,2013
186,Made In The USA,Demi Lovato,dance pop,2013
187,Clown,Emeli Sandé,dance pop,2013
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013
189,TKO,Justin Timberlake,dance pop,2013
190,Come & Get It,Selena Gomez,dance pop,2013
191,Live It Up,Jennifer Lopez,dance pop,2013
192,We Own The Night,The Wanted,boy band,2013
193,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013
194,What About Love,Austin Mahone,dance pop,2013
195,Take Back the Night,Justin Timberlake,dance pop,2013
196,Applause,Lady Gaga,dance pop,2013
197,Anything Could Happen,Ellie Goulding,dance pop,2013
198,Finally Found You,Enrique Iglesias,dance pop,2013
199,Pom Poms,Jonas Brothers,boy band,2013
200,#Beautiful,Mariah Carey,dance pop,2013
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013
202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013
203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013
204,People Like Us,Kelly Clarkson,dance pop,2013
205,Overdose,Ciara,dance pop,2013
206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013
207,Give It 2 U,Robin Thicke,dance pop,2013
208,Foolish Games,Jewel,alaska indie,2013
209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013
210,Freak,Kelly Rowland,atl hip hop,2013
211,All of Me,John Legend,neo mellow,2014
212,Stay With Me,Sam Smith,pop,2014
213,Summer,Calvin Harris,dance pop,2014
214,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014
215,Rude,MAGIC!,pop,2014
216,Shake It Off,Taylor Swift,pop,2014
217,Dark Horse,Katy Perry,dance pop,2014
218,Hey Brother,Avicii,big room,2014
219,Maps,Maroon 5,pop,2014
220,Treasure,Bruno Mars,pop,2014
221,Let Her Go,Passenger,folk-pop,2014
222,Problem,Ariana Grande,dance pop,2014
223,Pompeii,Bastille,metropopolis,2014
224,Team,Lorde,art pop,2014
225,Love Me Again,John Newman,pop,2014
226,Latch,Disclosure,house,2014
227,Adore You,Miley Cyrus,dance pop,2014
228,Love Never Felt So Good,Michael Jackson,pop,2014
229,Burn,Ellie Goulding,dance pop,2014
230,She Looks So Perfect,5 Seconds of Summer,boy band,2014
