ID,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
138,150,84,58,-7,8,48,258,34,5,38
139,114,92,60,-3,25,75,256,0,4,0
140,160,81,51,-5,21,69,230,0,5,88
141,124,78,53,-6,16,64,247,0,5,85
142,121,66,60,-6,12,29,245,23,5,81
143,95,55,78,-7,13,44,243,35,5,81
144,85,87,42,-4,12,63,203,7,6,80
145,180,77,55,-5,35,46,224,0,4,78
146,80,62,61,-6,37,48,231,1,3,78
147,129,84,61,-3,12,44,213,11,5,78
148,116,81,79,-9,10,86,248,4,4,77
149,120,42,53,-6,11,35,221,41,3,77
150,170,70,38,-5,11,30,209,14,9,77
151,120,60,85,-5,8,84,264,0,4,76
152,174,79,50,-5,24,50,211,7,10,76
153,86,68,63,-6,12,75,193,1,9,75
154,128,70,71,-5,22,80,212,0,5,75
155,128,78,51,-3,7,18,271,4,7,75
156,126,81,57,-6,13,11,215,2,6,74
157,126,92,54,-3,12,51,184,13,8,74
158,155,92,47,-4,31,73,177,0,6,74
159,100,41,77,-7,7,29,228,0,10,73
160,118,88,65,-3,8,49,200,2,5,73
161,90,93,63,-3,32,91,183,2,6,73
162,128,93,57,-4,6,58,213,20,11,72
163,100,66,83,-8,8,67,354,8,6,72
164,128,82,63,-7,7,85,248,16,16,71
165,185,84,55,-4,4,76,221,1,5,71
166,146,93,63,-4,10,88,258,3,8,70
167,136,76,67,-4,34,54,230,4,16,70
168,84,52,56,-6,10,23,272,23,4,70
169,125,68,66,-7,37,25,252,25,4,70
170,95,53,78,-7,5,66,236,6,29,69
171,126,75,52,-6,14,16,215,26,4,69
172,82,88,65,-3,8,86,227,29,11,68
173,102,60,80,-4,16,36,326,10,22,68
174,128,61,80,-6,7,40,280,0,6,68
175,126,91,71,-3,15,82,157,1,3,67
176,130,87,72,-3,66,68,209,4,4,67
177,120,67,66,-5,26,37,225,0,3,66
178,120,78,68,-6,12,40,230,13,4,65
179,130,62,76,-6,9,52,241,1,18,65
180,121,74,85,-5,55,77,224,0,9,63
181,126,82,56,-3,10,43,202,1,6,62
182,184,96,47,-3,34,67,207,1,13,61
183,105,52,56,-7,34,58,263,14,10,61
184,77,60,58,-6,43,65,277,14,5,60
185,95,80,67,-5,11,35,197,9,4,60
186,87,86,58,-4,32,59,196,0,4,60
187,130,23,45,-8,11,23,221,92,4,60
188,93,81,55,-6,15,34,271,9,31,59
189,138,68,61,-7,43,49,424,1,24,58
190,80,79,55,-4,10,58,232,1,5,57
191,128,73,69,-5,33,65,244,1,17,57
192,104,94,55,-4,23,56,206,1,13,56
193,136,45,28,-8,11,11,236,63,3,55
194,100,78,63,-7,4,28,203,0,4,54
195,107,66,59,-5,64,33,353,4,16,54
196,140,78,67,-4,11,73,212,3,5,52
197,103,78,70,-4,14,38,286,43,3,52
198,128,88,62,-5,35,66,221,1,10,52
199,148,98,68,-2,28,90,198,7,9,52
200,107,76,68,-5,31,45,200,29,4,51
201,201,95,36,-3,37,51,211,9,48,50
202,128,75,72,-4,13,50,229,4,4,46
203,128,57,69,-5,11,73,257,2,5,45
204,128,79,60,-5,36,61,259,4,4,45
205,107,70,77,-6,6,79,227,1,3,43
206,130,74,53,-6,24,45,186,0,4,42
207,127,83,67,-4,16,58,230,10,7,41
208,132,34,51,-11,12,7,250,23,3,36
209,95,84,71,-4,21,66,207,16,3,35
210,104,78,65,-5,12,45,274,13,6,28
211,120,26,42,-7,13,33,270,92,3,86
212,84,42,42,-6,11,18,173,59,4,85
213,128,86,60,-4,14,74,223,2,3,80
214,160,82,65,-5,9,96,233,22,18,79
215,144,76,77,-5,31,93,225,4,4,79
216,160,80,65,-5,33,94,219,6,17,78
217,132,59,65,-6,17,35,216,0,5,78
218,125,78,55,-5,8,46,255,3,4,78
219,120,71,74,-6,6,88,190,2,3,78
220,116,69,87,-5,32,94,179,4,4,77
221,75,54,51,-7,10,24,253,39,6,77
222,103,81,66,-5,16,63,194,2,15,75
